"kode_prov","nama_prov","kode_kabkota","nama_kabkota","kode_kecamatan","nama_kecamatan"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.231","KALIWEDI"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.230","GEGESIK"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.220","SUSUKAN"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.211","GEMPOL"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.210","CIWARINGIN"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.201","PANGURAGAN"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.200","ARJAWINANGUN"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.191","JAMBLANG"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.190","KLANGENAN"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.181","SURANENGGALA"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.180","KAPETAKAN"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.171","GUNUNGJATI"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.162","KEDAWUNG"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.161","TENGAH TANI"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.151","PLERED"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.150","WERU"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.141","DEPOK"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.140","PLUMBON"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.130","PALIMANAN"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.121","DUKUPUNTANG"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.120","SUMBER"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.111","TALUN"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.101","GREGED"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.100","BEBER"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.090","MUNDU"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.081","PANGENAN"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.080","ASTANAJAPURA"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.070","SEDONG"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.061","SUSUKANLEBAK"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.060","LEMAHABANG"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.051","KARANGWARENG"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.050","KARANGSEMBUNG"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.041","GEBANG"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.040","BABAKAN"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.031","PABEDILAN"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.030","LOSARI"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.021","PABUARAN"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.020","CILEDUG"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.011","PASALEMAN"
"32","Provinsi Jawa Barat","3209","Kab. Cirebon","3209.010","WALED"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.300","PANUMBANGAN"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.291","SUKAMANTRI"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.290","PANJALU"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.281","LUMBUNG"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.280","KAWALI"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.270","PANAWANGAN"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.260","JATINAGARA"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.250","CIPAKU"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.240","SADANANYA"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.230","CIHAURBEUTI"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.221","SINDANGKASIH"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.220","CIKONENG"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.211","BAREGBEG"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.210","CIAMIS"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.200","SUKADANA"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.190","RAJADESA"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.180","RANCAH"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.170","TAMBAKSARI"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.160","CISAGA"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.150","CIJEUNGJING"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.140","CIMARAGAS"
"32","Provinsi Jawa Barat","3207","Kab. Ciamis","3207.130","CIDOLOG"
